# 照片清单(重命名后) — name,orientation,origWidth,origHeight
01,landscape,1706,1280
02,landscape,1706,1280
03,landscape,1920,1280
04,landscape,1280,960
05,landscape,1706,1280
06,portrait,1280,1706
07,landscape,1706,1280
08,landscape,1705,1280
09,landscape,1706,1280
10,portrait,1280,1706
11,landscape,1706,1280
12,landscape,1706,1280
13,landscape,1706,1280
14,portrait,1280,1706
15,landscape,1706,1280
16,landscape,1706,1280
17,portrait,960,1280
18,landscape,1706,1280
19,portrait,1280,1706
20,portrait,960,1280
